point_x_m,point_y_m,boundary_case,charge_case,phi_total_V,phi_boundary_V,phi_charge_V,stderr_total_V,stderr_boundary_V,stderr_charge_V
0.02,0.5,BC3_top_left_+200_bottom_0_right_-400,Q3_exp_minus10r_centered,192.68601364372242,192.68400000000003,0.0020136437223927115,0.6069612084501091,0.6069612084474593,1.7935374040035275e-06
0.5,0.5,BC1_all_edges_+100V,Q0_zero_charge,100.0,100.0,0.0,0.315723831124608,0.315723831124608,0.0
0.5,0.5,BC1_all_edges_+100V,Q1_uniform_10,102.94100682,100.0,2.94100682,0.3157240660924325,0.315723831124608,0.0003851881860700118
0.5,0.5,BC1_all_edges_+100V,Q2_gradient_top1_bottom0,100.14722790894,100.0,0.14722790894000004,0.31572383180122665,0.315723831124608,2.0670008459741032e-05
0.5,0.5,BC1_all_edges_+100V,Q3_exp_minus10r_centered,100.05067116394815,100.0,0.050671163948159334,0.3157238312679469,0.315723831124608,9.513728646010011e-06
0.5,0.5,BC2_top_bottom_+100_left_right_-100,Q0_zero_charge,0.13399999999999979,0.13399999999999979,0.0,0.315723831124608,0.315723831124608,0.0
0.5,0.5,BC2_top_bottom_+100_left_right_-100,Q1_uniform_10,3.07500682,0.13399999999999979,2.94100682,0.3157240660924325,0.315723831124608,0.0003851881860700118
0.5,0.5,BC2_top_bottom_+100_left_right_-100,Q2_gradient_top1_bottom0,0.2812279089399998,0.13399999999999979,0.14722790894000004,0.31572383180122665,0.315723831124608,2.0670008459741032e-05
0.5,0.5,BC2_top_bottom_+100_left_right_-100,Q3_exp_minus10r_centered,0.18467116394815913,0.13399999999999979,0.050671163948159334,0.3157238312679469,0.315723831124608,9.513728646010011e-06
0.5,0.5,BC3_top_left_+200_bottom_0_right_-400,Q0_zero_charge,0.8499999999999994,0.8499999999999994,0.0,0.7729867396275307,0.7729867396275307,0.0
0.5,0.5,BC3_top_left_+200_bottom_0_right_-400,Q1_uniform_10,3.7910068199999998,0.8499999999999994,2.94100682,0.7729868355993772,0.7729867396275307,0.0003851881860700118
0.5,0.5,BC3_top_left_+200_bottom_0_right_-400,Q2_gradient_top1_bottom0,0.9972279089399995,0.8499999999999994,0.14722790894000004,0.7729867399038933,0.7729867396275307,2.0670008459741032e-05
0.5,0.5,BC3_top_left_+200_bottom_0_right_-400,Q3_exp_minus10r_centered,0.9006711639481587,0.8499999999999994,0.050671163948159334,0.772986739686077,0.7729867396275307,9.513728646010011e-06
