point_x_m,point_y_m,boundary_case,charge_case,phi_stochastic_V,stderr_stochastic_V,phi_deterministic_V,difference_V,abs_difference_V,z_score,within_1sigma,within_2sigma,phi_boundary_V,phi_charge_V,stderr_boundary_V,stderr_charge_V
0.5,0.5,BC1_all_edges_+100V,Q0_zero_charge,100.0000000000001,0.3157238311246081,100.00000000014207,-1.4196643860486802e-10,1.4196643860486802e-10,-4.496538576108862e-10,True,True,100.0000000000001,0.0,0.3157238311246081,0.0
0.5,0.5,BC1_all_edges_+100V,Q1_uniform_10,102.9410068200001,0.3157240660924326,99.26334450976671,3.677662310233387,3.677662310233387,11.648343301003544,False,False,100.0000000000001,2.94100682,0.3157238311246081,0.0003851881860700118
0.5,0.5,BC1_all_edges_+100V,Q2_gradient_top1_bottom0,100.1472279089401,0.3157238318012267,99.96316722562234,0.18406068331775316,0.18406068331775316,0.5829800122077387,True,True,100.0000000000001,0.14722790894000004,0.3157238311246081,2.0670008459741032e-05
0.5,0.5,BC1_all_edges_+100V,Q3_exp_minus10r_centered,100.05067116394825,0.315723831267947,99.98731160160055,0.06335956234769924,0.06335956234769924,0.20068032904974964,True,True,100.0000000000001,0.050671163948159334,0.3157238311246081,9.513728646010011e-06
0.5,0.5,BC2_top_bottom_+100_left_right_-100,Q0_zero_charge,0.1340000000000025,0.3157238311246081,-2.6209428309057898e-14,0.1340000000000287,0.1340000000000287,0.42442155703837997,True,True,0.1340000000000025,0.0,0.3157238311246081,0.0
0.5,0.5,BC2_top_bottom_+100_left_right_-100,Q1_uniform_10,3.0750068200000027,0.3157240660924326,-0.7366554903926971,3.8116623103926996,3.8116623103926996,12.072764542683872,False,False,0.1340000000000025,2.94100682,0.3157238311246081,0.0003851881860700118
0.5,0.5,BC2_top_bottom_+100_left_right_-100,Q2_gradient_top1_bottom0,0.28122790894000255,0.3157238318012267,-0.0368327745194461,0.31806068345944866,0.31806068345944866,1.0074015687852578,False,True,0.1340000000000025,0.14722790894000004,0.3157238311246081,2.0670008459741032e-05
0.5,0.5,BC2_top_bottom_+100_left_right_-100,Q3_exp_minus10r_centered,0.18467116394816185,0.315723831267947,-0.012688398541574943,0.1973595624897368,0.1973595624897368,0.62510188634523,True,True,0.1340000000000025,0.050671163948159334,0.3157238311246081,9.513728646010011e-06
0.5,0.5,BC3_top_left_+200_bottom_0_right_-400,Q0_zero_charge,0.8499999999999828,0.7729867396275312,-3.0331629966980356e-11,0.8500000000303144,0.8500000000303144,1.0996307652572315,False,True,0.8499999999999828,0.0,0.7729867396275312,0.0
0.5,0.5,BC3_top_left_+200_bottom_0_right_-400,Q1_uniform_10,3.791006819999983,0.7729868355993776,-0.7366554904147998,4.527662310414783,4.527662310414783,5.85736017988458,False,False,0.8499999999999828,2.94100682,0.7729867396275312,0.0003851881860700118
0.5,0.5,BC3_top_left_+200_bottom_0_right_-400,Q2_gradient_top1_bottom0,0.9972279089399828,0.7729867399038938,-0.03683277455037466,1.0340606834903574,1.0340606834903574,1.3377469885433264,False,True,0.8499999999999828,0.14722790894000004,0.7729867396275312,2.0670008459741032e-05
0.5,0.5,BC3_top_left_+200_bottom_0_right_-400,Q3_exp_minus10r_centered,0.9006711639481421,0.7729867396860775,-0.012688398571993881,0.913359562520136,0.913359562520136,1.1815979700907497,False,True,0.8499999999999828,0.050671163948159334,0.7729867396275312,9.513728646010011e-06
0.02,0.02,BC1_all_edges_+100V,Q0_zero_charge,99.99999999999994,0.30218854756591934,99.99999999996544,3.4503955248510465e-11,3.4503955248510465e-11,1.1418022134337762e-10,True,True,99.99999999999994,0.0,0.30218854756591934,0.0
0.02,0.02,BC1_all_edges_+100V,Q1_uniform_10,100.03716977999994,0.302188549878019,99.99069869394071,0.04647108605922767,0.04647108605922767,0.1537817567144292,True,True,99.99999999999994,0.037169780000000006,0.30218854756591934,3.738154767868768e-05
0.02,0.02,BC1_all_edges_+100V,Q2_gradient_top1_bottom0,100.00060290460995,0.30218854756789143,99.99984813505435,0.0007547695555985001,0.0007547695555985001,0.0024976775647956324,True,True,99.99999999999994,0.0006029046100000001,0.30218854756591934,1.0917341761274386e-06
0.02,0.02,BC1_all_edges_+100V,Q3_exp_minus10r_centered,100.00011005674746,0.30218854756618235,99.99997228593504,0.00013777081241528322,0.00013777081241528322,0.00045591010488281334,True,True,99.99999999999994,0.00011005674751231727,0.30218854756591934,3.9870104649757105e-07
0.02,0.02,BC2_top_bottom_+100_left_right_-100,Q0_zero_charge,-0.31999999999998785,0.30218854756591934,3.640253675573448e-15,-0.3199999999999915,0.3199999999999915,-1.0589415203770645,False,True,-0.31999999999998785,0.0,0.30218854756591934,0.0
0.02,0.02,BC2_top_bottom_+100_left_right_-100,Q1_uniform_10,-0.28283021999998786,0.302188549878019,-0.009301306024787593,-0.2735289139752003,0.2735289139752003,-0.9051597556744376,True,True,-0.31999999999998785,0.037169780000000006,0.30218854756591934,3.738154767868768e-05
0.02,0.02,BC2_top_bottom_+100_left_right_-100,Q2_gradient_top1_bottom0,-0.31939709538998784,0.30218854756789143,-0.00015186491116658279,-0.31924523047882125,0.31924523047882125,-1.056443842919288,False,True,-0.31999999999998785,0.0006029046100000001,0.30218854756591934,1.0917341761274386e-06
0.02,0.02,BC2_top_bottom_+100_left_right_-100,Q3_exp_minus10r_centered,-0.31988994325247555,0.30218854756618235,-2.7714030404379785e-05,-0.3198622292220712,0.3198622292220712,-1.0584856103854106,False,True,-0.31999999999998785,0.00011005674751231727,0.30218854756591934,3.9870104649757105e-07
0.02,0.02,BC3_top_left_+200_bottom_0_right_-400,Q0_zero_charge,100.10799999999999,0.42884038830315413,99.82490294732612,0.28309705267386676,0.28309705267386676,0.6601455002734978,True,True,100.10799999999999,0.0,0.42884038830315413,0.0
0.02,0.02,BC3_top_left_+200_bottom_0_right_-400,Q1_uniform_10,100.14516977999999,0.4288403899324085,99.81560164130126,0.3295681386987326,0.3295681386987326,0.7685100247919217,True,True,100.10799999999999,0.037169780000000006,0.42884038830315413,3.738154767868768e-05
0.02,0.02,BC3_top_left_+200_bottom_0_right_-400,Q2_gradient_top1_bottom0,100.10860290461,0.4288403883045438,99.8247510824149,0.2838518221950892,0.2838518221950892,0.6619055246109654,True,True,100.10799999999999,0.0006029046100000001,0.42884038830315413,1.0917341761274386e-06
0.02,0.02,BC3_top_left_+200_bottom_0_right_-400,Q3_exp_minus10r_centered,100.1081100567475,0.4288403883033395,99.82487523329559,0.2832348234519202,0.2832348234519202,0.6604667638057788,True,True,100.10799999999999,0.00011005674751231727,0.42884038830315413,3.9870104649757105e-07
0.02,0.5,BC1_all_edges_+100V,Q0_zero_charge,100.00000000000001,0.3029723693672411,100.00000000005376,-5.374545253289398e-11,5.374545253289398e-11,-1.773939077188509e-10,True,True,100.00000000000001,0.0,0.3029723693672411,0.0
0.02,0.5,BC1_all_edges_+100V,Q1_uniform_10,100.25999067000001,0.302972390921247,99.93445072990292,0.3255399400970873,0.3255399400970873,1.0744871475160467,False,True,100.00000000000001,0.25999067000000003,0.3029723693672411,0.00011428270624655771
0.02,0.5,BC1_all_edges_+100V,Q2_gradient_top1_bottom0,100.01305529512001,0.30297236942815287,99.99672253654627,0.01633275857373917,0.01633275857373917,0.053908409550899115,True,True,100.00000000000001,0.01305529512,0.3029723693672411,6.075292581984432e-06
